,econ_interven,environment,redistribution,civlib_laworder,immigrate_policy,sociallifestyle,lrgen_factor,lrecon_factor,galtan_factor,party_id,party_id,party_id
346,7,5,3,5,6,7,6,7,8,3117.0,3117.0,3117.0
347,7,4,5,4,4,4,3,5,4,3118.0,3118.0,3118.0
348,7,3,5,0,4,0,5,3,0,3106.0,3106.0,3106.0
349,10,8,6,10,10,10,10,9,10,3119.0,3119.0,3119.0
350,5,5,5,5,10,5,6,7,9,3101.0,3101.0,3101.0
351,5,5,5,5,7,1,4,5,4,3102.0,3102.0,3102.0
352,5,5,5,7,10,10,9,10,10,3115.0,3115.0,3115.0
353,10,8,10,5,5,1,5,5,2,3105.0,3105.0,3105.0
354,3,3,5,5,7,4,5,4,5,3103.0,3103.0,3103.0
355,10,8,10,5,8,2,5,5,2,3104.0,3104.0,3104.0
356,5,3,3,5,4,5,5,5,5,3108.0,3108.0,3108.0
357,4,3,4,5,5,0,3,3,3,3110.0,3110.0,3110.0
358,4,5,4,8,10,10,9,10,10,3107.0,3107.0,3107.0
359,5,5,5,8,10,10,9,10,4,3116.0,3116.0,3116.0
360,5,5,4,5,9,5,5,5,7,3117.0,3117.0,3117.0
361,5,5,5,8,5,10,6,5,4,3118.0,3118.0,3118.0
362,6,7,6,5,5,0,5,5,1,3106.0,3106.0,3106.0
363,5,5,5,10,10,10,9,9,10,3119.0,3119.0,3119.0
364,6,6,7,7,8,7,8,7,8,3101.0,3101.0,3101.0
365,4,5,4,2,4,2,1,3,2,3102.0,3102.0,3102.0
366,7,5,6,8,9,8,9,8,8,3115.0,3115.0,3115.0
367,7,5,5,2,4,1,1,4,1,3105.0,3105.0,3105.0
368,4,5,3,2,4,2,3,4,4,3103.0,3103.0,3103.0
369,8,5,7,5,5,3,5,5,5,3104.0,3104.0,3104.0
370,2,5,2,5,5,5,5,4,5,3108.0,3108.0,3108.0
371,2,5,3,1,3,1,1,2,1,3110.0,3110.0,3110.0
372,7,5,4,8,8,8,8,8,8,3107.0,3107.0,3107.0
373,2,5,1,4,4,4,5,4,4,3116.0,3116.0,3116.0
374,4,5,3,4,5,5,5,4,5,3117.0,3117.0,3117.0
375,4,5,4,4,5,4,3,3,2,3118.0,3118.0,3118.0
376,4,5,3,2,4,1,1,1,1,3106.0,3106.0,3106.0
377,6,5,4,9,9,9,9,10,9,3119.0,3119.0,3119.0
378,3,6,5,6,8,5,6,6,5,3101.0,3101.0,3101.0
379,3,4,3,5,6,2,4,4,3,3102.0,3102.0,3102.0
380,3,5,4,6,7,6,8,7,7,3115.0,3115.0,3115.0
381,5,5,4,5,4,3,5,8,3,3105.0,3105.0,3105.0
382,3,4,3,5,6,5,4,4,4,3103.0,3103.0,3103.0
